DESCRIÇÃO;LANÇAMENTO;VENCIMENTO;EFETIVAÇÃO;CATEGORIA;SUBCATEGORIA;CARTÃO;CONTA;VALOR;OBSERVAÇÕES
INES CULINARIA FANTAST;01/01/2026 21:03;01/01/2026;01/01/2026;Despesas Variáveis (pessoal);Lanche;;Itaú;194.0;INES CULINARIA FANTAST R$ 194,00
ENG CAETANO ALVARES;02/01/2026 13:23;02/01/2026;02/01/2026;Despesas Variáveis (pessoal);Jantar;;Itaú;61.0;ENG CAETANO ALVARES R$ 61,00
Limpeza cama;02/01/2026 12:48;02/01/2026;02/01/2026;Despesas Variáveis (pessoal);Manutenção;;Itaú;350.0;Você enviou R$ 350,00 para GRUPO MAXIMO POTEN, CNPJ 44.102.839/0001-06.
MEGA VEST CASA;02/01/2026 15:00;02/01/2026;02/01/2026;Despesas Variáveis (pessoal);Compras;;Itaú;421.9;MEGA VEST CASA R$ 421,90
PANIFICADORA MERCURIO;02/01/2026 09:50;02/01/2026;02/01/2026;Gastos Livres (Controle Total);Cafe Manhã;;Itaú;152.03;PANIFICADORA MERCURIO R$ 152,03
Trimais fatura;02/01/2026 18:23;02/01/2026;02/01/2026;Despesas Variáveis (pessoal);Mercado;;Itaú;508.96;
Compras tiktok shopping;03/01/2026 15:54;03/01/2026;03/01/2026;Gastos Livres (Controle Total);Compras Internet;;Itaú;89.37;Você enviou R$ 89,37 para BYTEDANCE BRASIL T, CNPJ 27.415.911/0001-36.
LOJA DE CONVENIENCIA P;03/01/2026 17:34;03/01/2026;03/01/2026;Gastos Livres (Controle Total);Viagem;;Itaú;16.99;LOJA DE CONVENIENCIA P R$ 16,99
MANA DA SERRA PADARIA;03/01/2026 18:01;03/01/2026;03/01/2026;Gastos Livres (Controle Total);Jantar;;Itaú;20.05;MANA DA SERRA PADARIA R$ 20,05
Smoothie acai;03/01/2026 18:06;03/01/2026;03/01/2026;Gastos Livres (Controle Total);Lanche;;Itaú;31.0;
Seguro cartão;04/07/2025 08:34;04/01/2026;06/01/2026;Despesas Fixas (programadas);Assinaturas;;Itaú;16.79;
MATSUMOTO  EZZEDDINE L;04/01/2026 15:43;04/01/2026;04/01/2026;Gastos Livres (Controle Total);Lanche;;Itaú;92.97;MATSUMOTO  EZZEDDINE L R$ 92,97
Microondas magalu  1/6;23/12/2025 09:03;05/01/2026;04/01/2026;Parcelamentos;Cartão Mãe;;Itaú;133.33;
Blusas renner  1/2;06/12/2025 22:21;05/01/2026;04/01/2026;Despesas Variáveis (pessoal);Compras;;Itaú;129.85;
Celular Raissa  8/10;07/05/2025 22:37;05/01/2026;04/01/2026;Despesas Variáveis (pessoal);Presente Raissa;;Itaú;228.56;
Subway outlet almoço;06/12/2025 22:23;05/01/2026;04/01/2026;Gastos Livres (Controle Total);Lanche;;Itaú;70.0;
Sem parar debito;12/12/2025 11:59;05/01/2026;04/01/2026;Despesas Fixas (programadas);Sem Parar;;Itaú;200.0;
Sem parar Mc donalds;13/12/2025 22:58;05/01/2026;04/01/2026;Despesas Fixas (programadas);Sem Parar;;Itaú;25.85;
PetLove plano saúde;04/12/2024 17:33;05/01/2026;04/01/2026;Despesas Fixas (programadas);Assinaturas;;Itaú;102.9;
Matrícula faculdade fiap;16/12/2025 10:17;05/01/2026;04/01/2026;Despesas Fixas (programadas);Assinaturas;;Itaú;490.0;
Luz energia;02/02/2025 15:23;05/01/2026;04/01/2026;Despesas Fixas (programadas);Moradia;;Itaú;200.0;
